Item,Group,MainCond,Condition,ContextAudioFile,ContextImageFile,AudioFile,ImageFile
10,4,Critical,FalseControl,10_01.wav,G4_10_01.jpg,10_02.wav,G4_10_02.jpg
11,4,Critical,TrueControl,11_01.wav,G4_11_01.jpg,11_02.wav,G4_11_02.jpg
12,4,Filler,FAllAction,12_01.wav,G4_12_01.jpg,12_02.wav,G4_12_02.jpg
13,4,Critical,OnlyExist,13_01.wav,G4_13_01.jpg,13_02.wav,G4_13_02.jpg
14,4,Filler,FNoneAction,14_01.wav,G4_14_01.jpg,14_02.wav,G4_14_02.jpg
15,4,Critical,NoAction,15_01.wav,G4_15_01.jpg,15_02.wav,G4_15_02.jpg
16,4,Filler,FSomeAction,16_01.wav,G4_16_01.jpg,16_02.wav,G4_16_02.jpg
17,4,Critical,FalseControl,17_01.wav,G4_17_01.jpg,17_02.wav,G4_17_02.jpg
18,4,Critical,TrueControl,18_01.wav,G4_18_01.jpg,18_02.wav,G4_18_02.jpg
19,4,Filler,FAllAction,19_01.wav,G4_19_01.jpg,19_02.wav,G4_19_02.jpg
20,4,Critical,OnlyExist,20_01.wav,G4_20_01.jpg,20_02.wav,G4_20_02.jpg
21,4,Critical,NoAction,21_01.wav,G4_21_01.jpg,21_02.wav,G4_21_02.jpg
22,4,Filler,FNoneAction,22_01.wav,G4_22_01.jpg,22_02.wav,G4_22_02.jpg
23,4,Critical,FalseControl,23_01.wav,G4_23_01.jpg,23_02.wav,G4_23_02.jpg
24,4,Filler,FSomeAction,24_01.wav,G4_24_01.jpg,24_02.wav,G4_24_02.jpg
25,4,Critical,TrueControl,25_01.wav,G4_25_01.jpg,25_02.wav,G4_25_02.jpg
26,4,Filler,FAllAction,26_01.wav,G4_26_01.jpg,26_02.wav,G4_26_02.jpg
27,4,Critical,OnlyExist,27_01.wav,G4_27_01.jpg,27_02.wav,G4_27_02.jpg
28,4,Filler,FNoneAction,28_01.wav,G4_28_01.jpg,28_02.wav,G4_28_02.jpg
